"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"LO-1","Epic","","basic customer web","To Do","","","","","","","purple"
"LO-2","Story","LO-1","pengguna bisa login","To Do","","","","","","","purple"
"LO-3","Story","LO-1","pengguna bisa merubah password","To Do","","","","","","","purple"
"LO-4","Story","LO-1","pengguna dapat logout","To Do","","","","","","","purple"
"LO-5","Story","LO-1","pengguna bisa mengisi data diri","To Do","","","","","","","purple"
"LO-6","Story","LO-1","pengguna bisa regis","To Do","","","","","","","purple"
"LO-7","Epic","","booking","To Do","","","","","","","purple"
"LO-8","Story","LO-7","melihat list lapangan","To Do","","","","","","","purple"
"LO-9","Story","LO-7","• Pembatalan pemesanan","To Do","","","","","","","purple"
"LO-10","Story","LO-7","melihat lapangan terdekat","To Do","","","","","","","purple"
"LO-12","Story","LO-7","booking lapangan","To Do","","","","","","","purple"
"LO-13","Story","LO-7","mendapatkan invoice","To Do","","","","","","","purple"
"LO-11","Epic","","orderan (admin)","To Do","","","2024/05/01","2024/05/01","2024/05/14","2024/05/14","purple"
"LO-14","Story","LO-11","admin bisa melihat bookingan yang masuk","To Do","","","","","","","purple"
"LO-15","Story","LO-11","admin bida mengubah status lapangan","To Do","","","","","","","purple"
"LO-16","Story","LO-11","admin bisa menambah atau menghapus lapangan","To Do","","","","","","","purple"
"LO-17","Epic","","basic admin web","To Do","","","","","","","purple"
"LO-18","Story","LO-17","admin bisa melihat list pelanggan","To Do","","","","","","","purple"
"LO-19","Story","LO-17","admin bisa melihat laporan penjualan","To Do","","","","","","","purple"
"LO-20","Story","LO-17","admin bisa reset password pelanggan","To Do","","","","","","","purple"
"LO-21","Story","LO-17","admin bisa mengubah data pelanggan","To Do","","","","","","","purple"
"LO-22","Story","LO-17","admin bisa melihat data pelanggan","To Do","","","","","","","purple"
